ID	Label	"Synonyms/
Denoation"	Suggested parent term	Abbreviation	Defination	Textual Defination	Definition Source	See Also	Editor	Reviewer1	Reviewer2	Type	Parent Class	parent	similar term	xref id
pko:PKO_0000009	Cardiac Output	Stroke volume	CVS	CO	"Cardiac output in PBPK modeling refers to the volume of blood pumped by the heart per unit of time, which is used to calculate the rate of blood flow to different organs and tissues in the body"	"Cardiac output in PBPK modeling refers to the volume of blood pumped by the heart per unit of time, which is used to calculate the rate of blood flow to different organs and tissues in the body"	10.3390/ijerph20043473		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000028	Qstomach		Blood flow 		"Qstomach is a parameter used in PBPK modeling to describe the blood flow rate to the stomach, which is used to calculate the rate of drug/chemical delivery to the stomach. The value of Qstomach depends on the species of interest and is defined by the stomach weight/volume and cardiac output"	"Qstomach is a parameter used in PBPK modeling to describe the blood flow rate to the stomach, which is used to calculate the rate of drug/chemical delivery to the stomach. The value of Qstomach depends on the species of interest and is defined by the stomach weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000010	FQstomach		Blood flow		Fraction of blood flow to stomach	Fraction of blood flow to stomach	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qstomach			
pko:PKO_0000029	Qintestine		Blood flow 		"Qintestine is a parameter used in PBPK modeling to describe the blood flow rate to the intestine, which is used to calculate the rate of drug/chemical delivery to the intestine. The value of Qintestine depends on the species of interest and is defined by the intestine weight/volume and cardiac output"	"Qintestine is a parameter used in PBPK modeling to describe the blood flow rate to the intestine, which is used to calculate the rate of drug/chemical delivery to the intestine. The value of Qintestine depends on the species of interest and is defined by the intestine weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000011	FQintestine		Blood flow 		Fraction of blood flow to intestine	Fraction of blood flow to intestine	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qintestine			
pko:PKO_0000048	Qsmall intestine		Blood flow 		"Qsmall intestine is a parameter used in PBPK modeling to describe the blood flow rate to the small intestine, which is used to calculate the rate of drug/chemical delivery to the small intestine. The value of Qsmall intestine depends on the species of interest and is defined by the small intestine weight/volume and cardiac output"	"Qsmall intestine is a parameter used in PBPK modeling to describe the blood flow rate to the small intestine, which is used to calculate the rate of drug/chemical delivery to the small intestine. The value of Qsmall intestine depends on the species of interest and is defined by the small intestine weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000012	FQsmall intestine		Blood flow 		Fraction of blood flow to small intestine	Fraction of blood flow to small intestine	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qsmall intestine			
pko:PKO_0000049	Qlarge intestine		Blood flow 		"Qlarge intestine is a parameter used in PBPK modeling to describe the blood flow rate to the large intestine, which is used to calculate the rate of drug/chemical delivery to the large intestine. The value of Qlarge intestine depends on the species of interest and is defined by the large intestine weight/volume and cardiac output"	"Qlarge intestine is a parameter used in PBPK modeling to describe the blood flow rate to the large intestine, which is used to calculate the rate of drug/chemical delivery to the large intestine. The value of Qlarge intestine depends on the species of interest and is defined by the large intestine weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000013	FQlarge intestine		Blood flow 		Fraction of blood flow to large intestine	Fraction of blood flow to large intestine	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qlarge intestine			
pko:PKO_0000030	Qpancreas		Blood flow 		"Qpancreas is a parameter used in PBPK modeling to describe the blood flow rate to the pancreas, which is used to calculate the rate of drug/chemical delivery to the pancreas. The value of Qpancreas depends on the species of interest and is defined by the pancreas weight/volume and cardiac output"	"Qpancreas is a parameter used in PBPK modeling to describe the blood flow rate to the pancreas, which is used to calculate the rate of drug/chemical delivery to the pancreas. The value of Qpancreas depends on the species of interest and is defined by the pancreas weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000014	FQpancreas		Blood flow 		Fraction of blood flow to pancreas	Fraction of blood flow to pancreas	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qpancreas			
pko:PKO_0000031	Qliver		Blood flow 		"Qliver is a parameter used in PBPK modeling to describe the blood flow rate to the liver, which is used to calculate the rate of drug/chemical delivery to the liver. The value of Qliver depends on the species of interest and is defined by the liver weight/volume and cardiac output"	"Qliver is a parameter used in PBPK modeling to describe the blood flow rate to the liver, which is used to calculate the rate of drug/chemical delivery to the liver. The value of Qliver depends on the species of interest and is defined by the liver weight/volume and cardiac output"	"10.1002/psp4.12134
https://www.ema.europa.eu/en/documents/scientific-guideline/guideline-reporting-physiologically-based-pharmacokinetic-pbpk-modelling-simulation_en.pdf"		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000015	FQliver	FQhepatic	Blood flow 		Fraction of blood flow to liver	Fraction of blood flow to liver	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qliver			
pko:PKO_0000032	Qkidney		Blood flow 		"Qkidney is a parameter used in PBPK modeling to describe the blood flow rate to the kidney, which is used to calculate the rate of drug/chemical delivery to the kidney. The value of Qkidney depends on the species of interest and is defined by the kidney weight/volume and cardiac output"	"Qkidney is a parameter used in PBPK modeling to describe the blood flow rate to the kidney, which is used to calculate the rate of drug/chemical delivery to the kidney. The value of Qkidney depends on the species of interest and is defined by the kidney weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000016	FQkidney	FQrenal	Blood flow 		Fraction of blood flow to kidney	Fraction of blood flow to kidney	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qkidney			
pko:PKO_0000033	Qmuscle		Blood flow 		"Qmuscle is a parameter used in PBPK modeling to describe the blood flow rate to the muscle, which is used to calculate the rate of drug/chemical delivery to the muscle. The value of Qmuscle depends on the species of interest and is defined by the muscle weight/volume and cardiac output"	"Qmuscle is a parameter used in PBPK modeling to describe the blood flow rate to the muscle, which is used to calculate the rate of drug/chemical delivery to the muscle. The value of Qmuscle depends on the species of interest and is defined by the muscle weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000017	FQmuscle		Blood flow 		Fraction of blood flow to muscle	Fraction of blood flow to muscle	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qmuscle			
pko:PKO_0000034	Qheart		Blood flow 		"Qheart is a parameter used in PBPK modeling to describe the blood flow rate to the heart, which is used to calculate the rate of drug/chemical delivery to the heart. The value of Qheart depends on the species of interest and is defined by the heart weight/volume and cardiac output"	"Qheart is a parameter used in PBPK modeling to describe the blood flow rate to the heart, which is used to calculate the rate of drug/chemical delivery to the heart. The value of Qheart depends on the species of interest and is defined by the heart weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000018	FQheart	FQcardiac	Blood flow 		Fraction of blood flow to heart	Fraction of blood flow to heart	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qheart			
pko:PKO_0000035	Qfat		Blood flow 	Qadipose tissue	"Qfat is a parameter used in PBPK modeling to describe the blood flow rate to the fat, which is used to calculate the rate of drug/chemical delivery to the fat. The value of Qfat depends on the species of interest and is defined by the fat weight/volume and cardiac output"	"Qfat is a parameter used in PBPK modeling to describe the blood flow rate to the fat, which is used to calculate the rate of drug/chemical delivery to the fat. The value of Qfat depends on the species of interest and is defined by the fat weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000019	FQfat		Blood flow 		Fraction of blood flow to fat	Fraction of blood flow to fat	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qfat			
pko:PKO_0000036	Qgonads		Blood flow 		"Qgonads is a parameter used in PBPK modeling to describe the blood flow rate to the gonads, which is used to calculate the rate of drug/chemical delivery to the gonads. The value of Qgonads depends on the species of interest and is defined by the gonads weight/volume and cardiac output"	"Qgonads is a parameter used in PBPK modeling to describe the blood flow rate to the gonads, which is used to calculate the rate of drug/chemical delivery to the gonads. The value of Qgonads depends on the species of interest and is defined by the gonads weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000020	FQgonads		Blood flow 		Fraction of blood flow to gonads	Fraction of blood flow to gonads	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qgonads			
pko:PKO_0000037	Qskin		Blood flow 		"Qskin is a parameter used in PBPK modeling to describe the blood flow rate to the skin, which is used to calculate the rate of drug/chemical delivery to the skin. The value of Qskin depends on the species of interest and is defined by the skin weight/volume and cardiac output"	"Qskin is a parameter used in PBPK modeling to describe the blood flow rate to the skin, which is used to calculate the rate of drug/chemical delivery to the skin. The value of Qskin depends on the species of interest and is defined by the skin weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000021	FQskin		Blood flow 		Fraction of blood flow to skin	Fraction of blood flow to skin	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qskin			
pko:PKO_0000038	Qbone		Blood flow 		"Qbone is a parameter used in PBPK modeling to describe the blood flow rate to the bone, which is used to calculate the rate of drug/chemical delivery to the bone. The value of Qbone depends on the species of interest and is defined by the bone weight/volume and cardiac output"	"Qbone is a parameter used in PBPK modeling to describe the blood flow rate to the bone, which is used to calculate the rate of drug/chemical delivery to the bone. The value of Qbone depends on the species of interest and is defined by the bone weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000022	FQbone		Blood flow 		Fraction of blood flow to bone	Fraction of blood flow to bone	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qbone			
pko:PKO_0000039	Qbrain		Blood flow 		"Qbrain is a parameter used in PBPK modeling to describe the blood flow rate to the brain, which is used to calculate the rate of drug/chemical delivery to the brain. The value of Qbrain depends on the species of interest and is defined by the brain weight/volume and cardiac output"	"Qbrain is a parameter used in PBPK modeling to describe the blood flow rate to the brain, which is used to calculate the rate of drug/chemical delivery to the brain. The value of Qbrain depends on the species of interest and is defined by the brain weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000023	FQbrain		Blood flow 		Fraction of blood flow to brain	Fraction of blood flow to brain	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qbrain			
pko:PKO_0000040	Qspleen		Blood flow 		"Qspleen is a parameter used in PBPK modeling to describe the blood flow rate to the spleen, which is used to calculate the rate of drug/chemical delivery to the spleen. The value of Qspleen depends on the species of interest and is defined by the spleen weight/volume and cardiac output"	"Qspleen is a parameter used in PBPK modeling to describe the blood flow rate to the spleen, which is used to calculate the rate of drug/chemical delivery to the spleen. The value of Qspleen depends on the species of interest and is defined by the spleen weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000024	FQspleen		Blood flow 		Fraction of blood flow to spleen	Fraction of blood flow to spleen	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qspleen			
pko:PKO_0000041	Qlung		Blood flow 		"Qlung is a parameter used in PBPK modeling to describe the blood flow rate to the lung, which is used to calculate the rate of drug/chemical delivery to the lung. The value of Qlung depends on the species of interest and is defined by the lung weight/volume and cardiac output"	"Qlung is a parameter used in PBPK modeling to describe the blood flow rate to the lung, which is used to calculate the rate of drug/chemical delivery to the lung. The value of Qlung depends on the species of interest and is defined by the lung weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000025	FQlung		Blood flow 		Fraction of blood flow to lung	Fraction of blood flow to lung	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qlung			
pko:PKO_0000042	Qpoorly perfused		Blood flow 		"Qpoorly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the poorly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the poorly perfused organ/tissue. The value of Qpoorly perfused depends on the species of interest and is defined by the poorly perfused organ/tissue weight/volume and cardiac output"	"Qpoorly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the poorly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the poorly perfused organ/tissue. The value of Qpoorly perfused depends on the species of interest and is defined by the poorly perfused organ/tissue weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000026	FQpoorly perfused		Blood flow 		Fraction of blood flow to poorly perfused tissues/organ	Fraction of blood flow to poorly perfused tissues/organ	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qpoorly perfused			
pko:PKO_0000043	Qrichly perfused		Blood flow 		"Qrichly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the richly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the richly perfused organ/tissue. The value of Qrichly perfused depends on the species of interest and is defined by the richly perfused organ/tissue weight/volume and cardiac output"	"Qrichly perfused is a parameter used in PBPK modeling to describe the blood flow rate to the richly perfused organ/tissue, which is used to calculate the rate of drug/chemical delivery to the richly perfused organ/tissue. The value of Qrichly perfused depends on the species of interest and is defined by the richly perfused organ/tissue weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000027	FQrichly perfused		Blood flow 		Fraction of blood flow to richly perfused tissues/organs	Fraction of blood flow to richly perfused tissues/organs	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Qrichly perfused			
pko:PKO_0000047	Qrestbody		Blood flow 		"Qrestbody is a parameter used in PBPK modeling to describe the blood flow rate to the remaining organ/tissue, which is used to calculate the rate of drug/chemical delivery to the remaining organ/tissue. The value of Qrestbody can be obtained by subtracting the total body blood flow with the blood flow of each organs/tissue present in the model."	"Qrestbody is a parameter used in PBPK modeling to describe the blood flow rate to the remaining organ/tissue, which is used to calculate the rate of drug/chemical delivery to the remaining organ/tissue. The value of Qrestbody can be obtained by subtracting the total body blood flow with the blood flow of each organs/tissue present in the model."			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
	FQrestbody											Subclass	Qrestbody			
pko:PKO_0000050	Qgallballder		Blood flow 		"Qgall bladder is a parameter used in PBPK modeling to describe the blood flow rate to the gall bladder, which is used to calculate the rate of drug/chemical delivery to the gall bladder. The value of Qgall bladder depends on the species of interest and is defined by the gall bladder weight/volume and cardiac output"	"Qgall bladder is a parameter used in PBPK modeling to describe the blood flow rate to the gall bladder, which is used to calculate the rate of drug/chemical delivery to the gall bladder. The value of Qgall bladder depends on the species of interest and is defined by the gall bladder weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
	FQgallballder											Subclass	Qgallballder			
pko:PKO_0000051	Qportal vein		Blood flow 		"Qportal vein is a parameter used in PBPK modeling to describe the blood flow rate to the portal vein, which is used to calculate the rate of drug/chemical delivery to the portal vein. The value of Qportal vein depends on the species of interest and is defined by the portal vein weight/volume and cardiac output"	"Qportal vein is a parameter used in PBPK modeling to describe the blood flow rate to the portal vein, which is used to calculate the rate of drug/chemical delivery to the stomach. The value of Qportal vein depends on the species of interest and is defined by the portal vein weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
	FQportal vein											Subclass	Qportal vein			
pko:PKO_0000052	Qlymph		Blood flow 		"Qlymph is a parameter used in PBPK modeling to describe the blood flow rate to the lymph, which is used to calculate the rate of drug/chemical delivery to the lymph. The value of Qlymph depends on the species of interest and is defined by the lymph weight/volume and cardiac output"	"Qlymph is a parameter used in PBPK modeling to describe the blood flow rate to the lymph, which is used to calculate the rate of drug/chemical delivery to the lymph. The value of Qlymph depends on the species of interest and is defined by the lymph weight/volume and cardiac output"			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
	FQlymph											Subclass	Qlymph			
pko:PKO_0000044	Arterial blood flow		Blood flow 		Arterial blood flow in PBPK modeling represents the rate of blood flow to the tissues and organs through the arterial system. This parameter is essential for estimating the distribution of drugs and other substances in the body	Arterial blood flow in PBPK modeling represents the rate of blood flow to the tissues and organs through the arterial system. This parameter is essential for estimating the distribution of drugs and other substances in the body	"10.1007/s40268-020-00325-0
10.1186/1472-6904-4-2"		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000045	Venous blood flow		Blood flow 		Venous blood flow in PBPK modeling represents the rate of blood flow returning from the tissues and organs through the venous system. This parameter is essential for estimating the distribution of drugs/chemicals and other substances in the body.	Venous blood flow in PBPK modeling represents the rate of blood flow returning from the tissues and organs through the venous system. This parameter is essential for estimating the distribution of drugs/chemicals and other substances in the body.			0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000046	Glomerular filtration rate		Blood flow 	GFR	Glomerular filtration rate (GFR) is a measure of kidney function that describes the flow rate of filtered fluid through the kidney	Glomerular filtration rate (GFR) is a measure of kidney function that describes the flow rate of filtered fluid through the kidney	Glomerular filtration rate - Wikipedia		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Blood flow			
pko:PKO_0000053	Volume of organ		Volume of organ	Vorgan	Organ volume in PBPK modeling refers to the volume of a specific organ or tissue in the body. 	Organ volume in PBPK modeling refers to the volume of a specific organ or tissue in the body. 	10.1002/psp4.12205		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Physiological Parameters			
pko:PKO_0000072	Vstomach		Volume of organ		Volume of stomach	Volume of stomach	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000054	Fstomach		Volume of organ		stomach volume as a fraction of total body weight	stomach volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vstomach			
pko:PKO_0000073	Vintestine		Volume of organ		Volume of intestine	Volume of intestine	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000055	Fintestine		Volume of organ		intestine volume as a fraction of total body weight	intestine volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vintestine			
pko:PKO_0000074	Vsmall intestine		Volume of organ		Volume of small intestine	Volume of small intestine	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000056	Fsmall intestine		Volume of organ		small intestine volume as a fraction of total body weight	small intestine volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vsmall intestine			
pko:PKO_0000075	Vlarge intestine		Volume of organ		Volume of large intestine	Volume of large intestine	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000057	Flarge intestine		Volume of organ		large intestine volume as a fraction of total body weight	large intestine volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vlarge intestine			
pko:PKO_0000076	Vpancreas		Volume of organ		Volume of pancreas	Volume of pancreas	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000058	Fpancreas		Volume of organ		pancreas volume as a fraction of total body weight	pancreas volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vpancreas			
pko:PKO_0000077	Vliver		Volume of organ		Volume of liver	Volume of liver	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000059	Fliver		Volume of organ		liver volume as a fraction of total body weight	liver volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vliver			
pko:PKO_0000078	Vkidney		Volume of organ		Volume of kidney	Volume of kidney	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000060	Fkidney		Volume of organ		kidney volume as a fraction of total body weight	kidney volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vkidney			
pko:PKO_0000079	Vmuscle		Volume of organ		Volume of muscle	Volume of muscle	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000061	Fmuscle		Volume of organ		muscle volume as a fraction of total body weight	muscle volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vmuscle			
pko:PKO_0000080	Vheart		Volume of organ		Volume of heart	Volume of heart	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000062	Fheart		Volume of organ		heart volume as a fraction of total body weight	heart volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vheart			
pko:PKO_0000081	Vfat		Volume of organ		Volume of fat	Volume of fat	https://doi.org/10.1016/j.envres.2022.114074		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Volume of organ			
pko:PKO_0000063	Ffat		Volume of organ		fat volume as a fraction of total body weight	fat volume as total body weight fraction	https://doi.org/10.1016/j.toxlet.2023.06.006		0000-0001-8345-1349	0000-0002-9795-5967		Subclass	Vfat			
